KBJD,raw_ap_chosen,post_decorr_ap_chosen,final_ap_chosen,err_ap_chosen,raw_ap_0,post_decorr_ap_0,final_ap_0,err_ap_0,raw_ap_1,post_decorr_ap_1,final_ap_1,err_ap_1,raw_ap_2,post_decorr_ap_2,final_ap_2,err_ap_2,raw_ap_3,post_decorr_ap_3,final_ap_3,err_ap_3,raw_ap_4,post_decorr_ap_4,final_ap_4,err_ap_4,raw_ap_5,post_decorr_ap_5,final_ap_5,err_ap_5,raw_ap_6,post_decorr_ap_6,final_ap_6,err_ap_6
2060.28419005,13.00644,,,0.00267,,,,,13.00634,,,0.00241,13.00644,,,0.00267,,,,,,,,,,,,,,,,
2060.30462236,12.97537,,,0.00258,,,,,12.97672,,,0.00234,12.97537,,,0.00258,,,,,,,,,,,,,,,,
2060.32505457,12.95143,,,0.00254,,,,,12.95416,,,0.0023,12.95143,,,0.00254,,,,,,,,,,,,,,,,
2060.34548668,12.94155,,,0.00251,,,,,12.94516,,,0.00228,12.94155,,,0.00251,,,,,,,,,,,,,,,,
2060.36591899,12.94753,,,0.00258,,,,,12.95094,,,0.00234,12.94753,,,0.00258,,,,,,,,,,,,,,,,
2060.3863512,12.96973,,,0.0026,,,,,12.97294,,,0.00235,12.96973,,,0.0026,,,,,,,,,,,,,,,,
2060.40678341,12.99909,,,0.00267,,,,,13.00067,,,0.00242,12.99909,,,0.00267,,,,,,,,,,,,,,,,
2060.42721562,13.02916,,,0.00271,,,,,13.02981,,,0.00245,13.02916,,,0.00271,,,,,,,,,,,,,,,,
2060.44764782,13.05385,,,0.00278,,,,,13.05336,,,0.00252,13.05385,,,0.00278,,,,,,,,,,,,,,,,
2060.46808003,13.06812,,,0.00282,,,,,13.06723,,,0.00254,13.06812,,,0.00282,,,,,,,,,,,,,,,,
2060.48851224,13.07029,,,0.00283,,,,,13.0699,,,0.00256,13.07029,,,0.00283,,,,,,,,,,,,,,,,
2060.50894444,13.06069,,,0.0028,,,,,13.06056,,,0.00253,13.06069,,,0.0028,,,,,,,,,,,,,,,,
2060.52937665,13.03644,,,0.00273,,,,,13.03723,,,0.00247,13.03644,,,0.00273,,,,,,,,,,,,,,,,
2060.54980886,13.00728,,,0.00265,,,,,13.00922,,,0.0024,13.00728,,,0.00265,,,,,,,,,,,,,,,,
2060.57024106,12.96833,,,0.00299,,,,,12.96799,,,0.0027,12.96833,,,0.00299,,,,,,,,,,,,,,,,
2060.59067337,12.95109,,,0.00248,,,,,12.95563,,,0.00226,12.95109,,,0.00248,,,,,,,,,,,,,,,,
2060.61110547,12.94147,,,0.00249,,,,,12.94636,,,0.00226,12.94147,,,0.00249,,,,,,,,,,,,,,,,
2060.63153767,12.94862,,,0.00245,,,,,12.95348,,,0.00223,12.94862,,,0.00245,,,,,,,,,,,,,,,,
2060.65196998,12.97003,,,0.00252,,,,,12.97433,,,0.00229,12.97003,,,0.00252,,,,,,,,,,,,,,,,
2060.67240208,12.99985,,,0.00254,,,,,13.00346,,,0.00231,12.99985,,,0.00254,,,,,,,,,,,,,,,,
2060.69283438,13.02977,,,0.00268,,,,,13.03209,,,0.00242,13.02977,,,0.00268,,,,,,,,,,,,,,,,
2060.71326658,13.05383,,,0.0027,,,,,13.05497,,,0.00245,13.05383,,,0.0027,,,,,,,,,,,,,,,,
2060.73369869,13.06818,,,0.00273,,,,,13.06962,,,0.00247,13.06818,,,0.00273,,,,,,,,,,,,,,,,
2060.75413099,13.0691,,,0.00271,,,,,13.07142,,,0.00246,13.0691,,,0.00271,,,,,,,,,,,,,,,,
2060.77456319,13.05777,,,0.00262,,,,,13.06109,,,0.00238,13.05777,,,0.00262,,,,,,,,,,,,,,,,
2060.79499529,13.03645,,,0.00246,,,,,13.04219,,,0.00224,13.03645,,,0.00246,,,,,,,,,,,,,,,,
2060.81542759,13.00864,,,0.00234,,,,,13.01557,,,0.00213,13.00864,,,0.00234,,,,,,,,,,,,,,,,
2060.83585978,12.97589,,,0.00232,,,,,12.98405,,,0.00212,12.97589,,,0.00232,,,,,,,,,,,,,,,,
2060.85629188,12.95033,,,0.00225,,,,,12.9594,,,0.00205,12.95033,,,0.00225,,,,,,,,,,,,,,,,
2060.87672418,12.93915,,,0.00219,,,,,12.94965,,,0.002,12.93915,,,0.00219,,,,,,,,,,,,,,,,
2060.89715638,12.94493,,,0.00212,,,,,12.95631,,,0.00194,12.94493,,,0.00212,,,,,,,,,,,,,,,,
2060.91758868,12.96745,,,0.00219,,,,,12.97768,,,0.002,12.96745,,,0.00219,,,,,,,,,,,,,,,,
2060.93802077,12.99766,,,0.00243,,,,,13.00716,,,0.00222,12.99766,,,0.00243,,,,,,,,,,,,,,,,
2060.95845297,13.02781,,,0.00218,,,,,13.03765,,,0.00199,13.02781,,,0.00218,,,,,,,,,,,,,,,,
2060.97888527,13.05113,,,0.00213,,,,,13.05982,,,0.00195,13.05113,,,0.00213,,,,,,,,,,,,,,,,
2060.99931736,13.06512,,,0.00207,,,,,13.07389,,,0.00189,13.06512,,,0.00207,,,,,,,,,,,,,,,,
