KBJD,raw_ap_chosen,post_decorr_ap_chosen,final_ap_chosen,err_ap_chosen,raw_ap_0,post_decorr_ap_0,final_ap_0,err_ap_0,raw_ap_1,post_decorr_ap_1,final_ap_1,err_ap_1,raw_ap_2,post_decorr_ap_2,final_ap_2,err_ap_2,raw_ap_3,post_decorr_ap_3,final_ap_3,err_ap_3,raw_ap_4,post_decorr_ap_4,final_ap_4,err_ap_4,raw_ap_5,post_decorr_ap_5,final_ap_5,err_ap_5,raw_ap_6,post_decorr_ap_6,final_ap_6,err_ap_6
2135.51398353,12.8578,13.01517,12.988231518023458,0.00184,,,,,12.8917,13.0277,12.986460554007383,0.00156,12.87647,13.02413,13.001626373987985,0.0017,12.8578,13.01517,12.988231518023458,0.00184,12.84753,13.00983,12.91421900493321,0.00199,12.85273,13.00407,12.90823615547894,0.00219,12.86991,13.02897,13.024666124828862,0.00242
2135.53441533,12.90465,13.07333,13.047308509875366,0.00194,,,,,12.93511,13.08264,13.098104851472973,0.00164,12.92189,13.08097,13.131094126961907,0.00179,12.90465,13.07333,13.047308509875366,0.00194,12.89484,13.06809,13.018834165977664,0.00211,12.90032,13.07174,12.972550509214988,0.00232,12.91741,13.08598,13.07194606113547,0.00256
2135.55484724,12.94936,12.96326,12.96593021844595,0.002,,,,,12.97759,12.9791,13.006300121551975,0.00169,12.96586,12.9735,13.03019313457798,0.00184,12.94936,12.96326,12.96593021844595,0.002,12.93962,12.95868,12.862685425169511,0.00217,12.94651,12.96009,12.942906945753075,0.00239,12.96537,12.97183,12.981156554791422,0.00265
2135.57527894,12.98616,12.89534,12.91341650394272,0.00212,,,,,13.01266,12.91601,12.992612406880477,0.00178,13.0022,12.90754,12.953255542652085,0.00195,12.98616,12.89534,12.91341650394272,0.00212,12.97637,12.89079,12.885787165845288,0.0023,12.98448,12.89119,12.926199079565547,0.00254,13.00493,12.90142,12.945092068769487,0.00281
2135.59571074,13.01349,12.99976,13.03828329738331,0.0022,,,,,13.0383,13.01494,13.037492928937594,0.00185,13.02904,13.01011,13.043791346713245,0.00203,13.01349,12.99976,13.03828329738331,0.0022,13.0037,12.99416,12.93620216460511,0.00239,13.0131,12.99965,13.062295886167608,0.00264,13.03532,13.01319,12.95899751081366,0.00293
2135.61614265,13.02944,13.06238,13.111400486951714,0.00221,,,,,13.05089,13.072,13.012313477578058,0.00185,13.04338,13.07029,13.052002352928936,0.00203,13.02944,13.06238,13.111400486951714,0.00221,13.02029,13.05667,13.043837522658565,0.0024,13.02936,13.06422,13.133596265966027,0.00265,13.05064,13.07771,13.02341199646561,0.00294
2135.63657435,13.03885,13.19271,13.1660611920436,0.00233,,,,,13.05872,13.19653,13.288837669163543,0.00195,13.05203,13.19846,13.270617907043292,0.00213,13.03885,13.19271,13.1660611920436,0.00233,13.02991,13.1893,13.07892590054046,0.00253,13.03941,13.19916,13.233098839915662,0.0028,13.06025,13.2157,13.156806606869198,0.0031
2135.65700616,13.04659,13.21587,13.131266649601269,0.00236,,,,,13.06426,13.21926,13.217512097639329,0.00197,13.05904,13.22176,13.186795709580517,0.00217,13.04659,13.21587,13.131266649601269,0.00236,13.03709,13.21241,13.078094482214969,0.00257,13.0455,13.22137,13.178590021884322,0.00284,13.06582,13.23878,13.055683996067486,0.00314
2135.67743806,13.06321,13.21401,13.19682432376111,0.00239,,,,,13.07994,13.21787,13.0361332932325,0.00199,13.07523,13.22003,13.077091225552563,0.00219,13.06321,13.21401,13.19682432376111,0.00239,13.05369,13.21028,12.999711741304665,0.0026,13.06259,13.21949,12.991801290965036,0.00287,13.08314,13.23695,13.106299462527527,0.00318
2135.69786977,13.08437,13.20656,13.256595478964915,0.00217,,,,,13.09138,13.2039,13.170616457844288,0.00179,13.09085,13.20827,13.307878653893395,0.00198,13.08437,13.20656,13.256595478964915,0.00217,13.07881,13.20637,13.231727844546864,0.00236,13.08633,13.21398,13.097550938023334,0.00261,13.10099,13.22556,13.23507269717538,0.00287
2135.71830167,13.07063,13.22307,13.098100790122881,0.00253,,,,,13.08592,13.22764,13.193408917061799,0.00211,13.08202,13.22921,13.180863779826783,0.00232,13.07063,13.22307,13.098100790122881,0.00253,13.06169,13.21987,13.094446718812785,0.00276,13.07048,13.22937,13.08909119968585,0.00304,13.08942,13.24586,13.049454142283732,0.00337
2135.73873348,13.09576,13.15674,13.081594811851785,0.00197,,,,,13.11206,13.15885,13.019477393534341,0.00164,13.10621,13.16086,13.036191201795592,0.0018,13.09576,13.15674,13.081594811851785,0.00197,13.08925,13.15403,13.024063155370238,0.00214,13.0986,13.15923,12.873815050022337,0.00236,13.11851,13.17509,12.947899159310442,0.00261
2135.75916519,13.14032,12.84599,12.831912549911895,0.00187,,,,,13.1547,12.86589,12.782128087575037,0.00156,13.15013,12.85724,13.011949668024718,0.00171,13.14032,12.84599,12.831912549911895,0.00187,13.13385,12.84024,12.909401840514752,0.00203,13.1443,12.84372,12.777156843548829,0.00224,13.16682,12.84672,12.835061994094238,0.00249
2135.77959709,13.15209,13.0858,12.987825217599422,0.00208,,,,,13.16635,13.09189,13.094845721192337,0.00174,13.16233,13.09204,13.142632549818313,0.00191,13.15209,13.0858,12.987825217599422,0.00208,13.14555,13.08215,13.011094522911845,0.00227,13.15685,13.08904,13.055575756138335,0.00251,13.1806,13.10356,13.179009860820242,0.00279
2135.8000289,13.01639,13.03159,12.964418330315873,0.00188,,,,,13.03817,13.04117,12.911893058916194,0.00158,13.02955,13.03918,13.01845108606041,0.00173,13.01639,13.03159,12.964418330315873,0.00188,13.00856,13.02727,13.130699703842087,0.00204,13.01617,13.03073,12.989149872208376,0.00225,13.03566,13.04431,13.145863372860934,0.00249
2135.82046061,12.55676,12.67942,12.885833782557986,0.00128,,,,,12.60134,12.70697,12.764466551877815,0.0011,12.57863,12.69383,12.71844279630709,0.00119,12.55676,12.67942,12.885833782557986,0.00128,12.54493,12.67188,12.813741031637543,0.00139,12.54328,12.66478,12.77774503125528,0.00151,12.55252,12.67356,12.73135014459357,0.00165
2135.84089252,12.309,12.41355,12.615136866860999,0.00108,,,,,12.36414,12.44999,12.622497122219466,0.00094,12.33493,12.43097,12.56704199805959,0.00101,12.309,12.41355,12.615136866860999,0.00108,12.2956,12.40547,12.625514516706138,0.00117,12.29062,12.38074,12.550611172161664,0.00127,12.29616,12.40172,12.539252159560759,0.00139
2135.86132432,12.38409,12.48041,12.61218933433623,0.00118,,,,,12.43668,12.51358,12.628671405968893,0.00102,12.40917,12.49654,12.696871565949575,0.0011,12.38409,12.48041,12.61218933433623,0.00118,12.37087,12.47296,12.682544005025088,0.00127,12.36694,12.44303,12.58327520309167,0.00139,12.3737,12.47206,12.528489377788148,0.00151
2135.88175613,12.48376,12.63288,12.658194759122235,0.00129,,,,,12.53349,12.66103,12.639202525816867,0.00111,12.50792,12.6472,12.67194527281552,0.0012,12.48376,12.63288,12.658194759122235,0.00129,12.47106,12.62542,12.625395208705386,0.0014,12.46897,12.60959,12.66204004308402,0.00152,12.47774,12.62864,12.568352565797653,0.00167
2135.90218794,12.5685,12.75798,12.835376708524128,0.00142,,,,,12.61573,12.78244,12.91293620981719,0.00123,12.59192,12.77112,12.830524379582071,0.00132,12.5685,12.75798,12.835376708524128,0.00142,12.55614,12.7503,12.906852272060801,0.00154,12.55541,12.74711,12.692325775202457,0.00168,12.56564,12.75607,12.829747353222752,0.00185
2135.92261975,12.64367,12.67326,12.83866572347909,0.0015,,,,,12.68598,12.70185,12.799565221325166,0.00128,12.66499,12.68777,12.838445421603362,0.00139,12.64367,12.67326,12.83866572347909,0.0015,12.63198,12.66687,12.890910344281485,0.00162,12.6322,12.66192,12.79175589747107,0.00178,12.64308,12.66582,12.756985205711503,0.00195
