KBJD,raw_ap_chosen,post_decorr_ap_chosen,final_ap_chosen,err_ap_chosen,raw_ap_0,post_decorr_ap_0,final_ap_0,err_ap_0,raw_ap_1,post_decorr_ap_1,final_ap_1,err_ap_1,raw_ap_2,post_decorr_ap_2,final_ap_2,err_ap_2,raw_ap_3,post_decorr_ap_3,final_ap_3,err_ap_3,raw_ap_4,post_decorr_ap_4,final_ap_4,err_ap_4,raw_ap_5,post_decorr_ap_5,final_ap_5,err_ap_5,raw_ap_6,post_decorr_ap_6,final_ap_6,err_ap_6
2060.28418946,13.22944,,,0.0015,13.19507,,,0.00112,13.20742,,,0.00123,13.21838,,,0.00136,13.22944,,,0.0015,13.22925,,,0.00164,13.22985,,,0.00179,13.23143,,,0.00195
2060.30462177,13.16517,,,0.00143,13.13962,,,0.00107,13.14763,,,0.00117,13.15623,,,0.0013,13.16517,,,0.00143,13.16397,,,0.00156,13.16385,,,0.0017,13.16507,,,0.00185
2060.32505398,13.05584,,,0.00128,13.04238,,,0.00098,13.0441,,,0.00106,13.04965,,,0.00117,13.05584,,,0.00128,13.05361,,,0.0014,13.05244,,,0.00152,13.05285,,,0.00165
2060.34548609,12.99649,,,0.00121,12.98807,,,0.00092,12.98704,,,0.001,12.99141,,,0.0011,12.99649,,,0.00121,12.99391,,,0.00131,12.99226,,,0.00143,12.99222,,,0.00155
2060.3659184,12.9634,,,0.00119,12.95726,,,0.00091,12.95476,,,0.00099,12.95865,,,0.00108,12.9634,,,0.00119,12.96087,,,0.0013,12.95903,,,0.00141,12.9587,,,0.00153
2060.3863506,12.93193,,,0.00117,12.92645,,,0.0009,12.92341,,,0.00097,12.92729,,,0.00107,12.93193,,,0.00117,12.92951,,,0.00128,12.9274,,,0.00139,12.92667,,,0.0015
2060.40678281,12.92487,,,0.00116,12.92051,,,0.00089,12.91693,,,0.00096,12.9205,,,0.00106,12.92487,,,0.00116,12.9223,,,0.00126,12.92011,,,0.00137,12.91934,,,0.00148
2060.42721502,12.94066,,,0.00116,12.93385,,,0.00089,12.93149,,,0.00097,12.93573,,,0.00106,12.94066,,,0.00116,12.93843,,,0.00126,12.9364,,,0.00137,12.93572,,,0.00149
2060.44764723,12.98306,,,0.00122,12.97162,,,0.00093,12.97145,,,0.00101,12.97694,,,0.00111,12.98306,,,0.00122,12.98136,,,0.00133,12.97981,,,0.00145,12.97944,,,0.00157
2060.46807943,13.04179,,,0.00128,13.02337,,,0.00097,13.02646,,,0.00105,13.03384,,,0.00116,13.04179,,,0.00128,13.04093,,,0.00139,13.04001,,,0.00152,13.03998,,,0.00164
2060.48851164,13.10696,,,0.00138,13.0781,,,0.00103,13.08595,,,0.00113,13.09626,,,0.00124,13.10696,,,0.00138,13.10675,,,0.0015,13.10605,,,0.00164,13.10618,,,0.00178
2060.50894385,13.16307,,,0.0014,13.1316,,,0.00104,13.14162,,,0.00114,13.15228,,,0.00126,13.16307,,,0.0014,13.16316,,,0.00152,13.16306,,,0.00166,13.16361,,,0.0018
2060.52937605,13.20517,,,0.00151,13.16861,,,0.00112,13.1809,,,0.00123,13.19296,,,0.00137,13.20517,,,0.00151,13.2057,,,0.00165,13.20589,,,0.00181,13.20648,,,0.00196
2060.54980826,13.23478,,,0.00154,13.19505,,,0.00114,13.20897,,,0.00126,13.22182,,,0.00139,13.23478,,,0.00154,13.23554,,,0.00169,13.23599,,,0.00184,13.2368,,,0.002
2060.57024046,13.25256,,,0.00171,13.20976,,,0.00125,13.22556,,,0.00138,13.23926,,,0.00154,13.25256,,,0.00171,13.25277,,,0.00187,13.25262,,,0.00204,13.25303,,,0.00222
2060.59067277,13.25272,,,0.00154,13.21017,,,0.00113,13.22542,,,0.00125,13.23903,,,0.00139,13.25272,,,0.00154,13.25386,,,0.00169,13.25452,,,0.00184,13.25551,,,0.002
2060.61110487,13.22106,,,0.00153,13.18212,,,0.00113,13.19546,,,0.00125,13.20819,,,0.00138,13.22106,,,0.00153,13.22191,,,0.00168,13.22238,,,0.00183,13.22323,,,0.00199
2060.63153707,13.13855,,,0.00141,13.10797,,,0.00105,13.1168,,,0.00115,13.12749,,,0.00128,13.13855,,,0.00141,13.13892,,,0.00154,13.13876,,,0.00168,13.13902,,,0.00182
2060.65196938,13.03337,,,0.00129,13.01256,,,0.00097,13.01631,,,0.00106,13.0246,,,0.00117,13.03337,,,0.00129,13.03306,,,0.00141,13.03204,,,0.00154,13.03154,,,0.00166
2060.67240148,12.98489,,,0.00121,12.96841,,,0.00092,12.96976,,,0.001,12.97701,,,0.0011,12.98489,,,0.00121,12.98436,,,0.00132,12.98306,,,0.00144,12.98228,,,0.00156
2060.69283378,12.94625,,,0.00117,12.93325,,,0.00089,12.93271,,,0.00097,12.93912,,,0.00106,12.94625,,,0.00117,12.94549,,,0.00127,12.944,,,0.00139,12.94307,,,0.0015
2060.71326598,12.92225,,,0.00116,12.91048,,,0.00088,12.90939,,,0.00096,12.9155,,,0.00105,12.92225,,,0.00116,12.92152,,,0.00126,12.91992,,,0.00137,12.91888,,,0.00148
2060.73369808,12.91989,,,0.00115,12.90916,,,0.00088,12.90762,,,0.00095,12.91345,,,0.00104,12.91989,,,0.00115,12.91877,,,0.00125,12.91704,,,0.00136,12.91599,,,0.00147
2060.75413038,12.95403,,,0.00118,12.93835,,,0.0009,12.93866,,,0.00097,12.94595,,,0.00107,12.95403,,,0.00118,12.95377,,,0.00128,12.95253,,,0.0014,12.95165,,,0.00151
2060.77456258,13.00156,,,0.0012,12.9809,,,0.00091,12.98369,,,0.00099,12.99227,,,0.00108,13.00156,,,0.0012,13.00166,,,0.0013,13.00058,,,0.00142,12.99972,,,0.00154
