KBJD,raw_ap_chosen,post_decorr_ap_chosen,final_ap_chosen,err_ap_chosen,raw_ap_0,post_decorr_ap_0,final_ap_0,err_ap_0,raw_ap_1,post_decorr_ap_1,final_ap_1,err_ap_1,raw_ap_2,post_decorr_ap_2,final_ap_2,err_ap_2,raw_ap_3,post_decorr_ap_3,final_ap_3,err_ap_3,raw_ap_4,post_decorr_ap_4,final_ap_4,err_ap_4,raw_ap_5,post_decorr_ap_5,final_ap_5,err_ap_5,raw_ap_6,post_decorr_ap_6,final_ap_6,err_ap_6
2060.28418946,13.09991,,,0.00104,13.11532,,,0.00083,13.11128,,,0.00089,13.10594,,,0.00096,13.09991,,,0.00104,13.09761,,,0.00113,13.10517,,,0.00123,13.12071,,,0.00135
2060.30462177,13.17219,,,0.00109,13.18031,,,0.00087,13.18001,,,0.00093,13.17721,,,0.00101,13.17219,,,0.00109,13.17042,,,0.00119,13.17932,,,0.0013,13.19665,,,0.00143
2060.32505398,13.23489,,,0.00116,13.23455,,,0.00091,13.23828,,,0.00099,13.23846,,,0.00107,13.23489,,,0.00116,13.23399,,,0.00126,13.24396,,,0.00139,13.26251,,,0.00152
2060.34548609,13.2947,,,0.00123,13.286,,,0.00095,13.29371,,,0.00103,13.29694,,,0.00113,13.2947,,,0.00123,13.29459,,,0.00133,13.30556,,,0.00146,13.32533,,,0.00161
2060.3659184,13.3493,,,0.00129,13.33237,,,0.00099,13.34377,,,0.00108,13.34997,,,0.00119,13.3493,,,0.00129,13.3504,,,0.00141,13.36282,,,0.00155,13.38425,,,0.00171
2060.3863506,13.39715,,,0.00136,13.37363,,,0.00104,13.38805,,,0.00114,13.39675,,,0.00125,13.39715,,,0.00136,13.39903,,,0.00149,13.41222,,,0.00164,13.43458,,,0.00181
2060.40678281,13.43722,,,0.0014,13.40856,,,0.00106,13.42555,,,0.00117,13.43616,,,0.00128,13.43722,,,0.0014,13.43942,,,0.00153,13.4535,,,0.00169,13.47708,,,0.00187
2060.42721502,13.46463,,,0.00141,13.43188,,,0.00107,13.45068,,,0.00117,13.46281,,,0.00129,13.46463,,,0.00141,13.46735,,,0.00154,13.48185,,,0.0017,13.5058,,,0.00188
2060.44764723,13.48068,,,0.00145,13.44537,,,0.00109,13.46533,,,0.0012,13.4785,,,0.00132,13.48068,,,0.00145,13.4837,,,0.00158,13.49865,,,0.00174,13.52322,,,0.00193
2060.46807943,13.48462,,,0.00144,13.44766,,,0.00108,13.46812,,,0.00119,13.48193,,,0.00132,13.48462,,,0.00144,13.48815,,,0.00157,13.50335,,,0.00174,13.52804,,,0.00192
2060.48851164,13.49159,,,0.00147,13.45293,,,0.0011,13.47414,,,0.00121,13.48873,,,0.00134,13.49159,,,0.00147,13.49529,,,0.0016,13.511,,,0.00177,13.53664,,,0.00196
2060.50894385,13.50633,,,0.00143,13.46725,,,0.00107,13.48881,,,0.00118,13.50347,,,0.0013,13.50633,,,0.00143,13.50976,,,0.00156,13.52463,,,0.00172,13.54883,,,0.0019
2060.52937605,13.51818,,,0.00146,13.47635,,,0.00109,13.49878,,,0.00121,13.51473,,,0.00133,13.51818,,,0.00146,13.5223,,,0.0016,13.53772,,,0.00176,13.56248,,,0.00195
2060.54980826,13.53143,,,0.00147,13.48758,,,0.0011,13.51098,,,0.00121,13.52768,,,0.00134,13.53143,,,0.00147,13.53576,,,0.00161,13.55158,,,0.00178,13.57685,,,0.00197
2060.57024046,13.53325,,,0.00155,13.4887,,,0.00115,13.51244,,,0.00128,13.52956,,,0.00141,13.53325,,,0.00155,13.53726,,,0.0017,13.55218,,,0.00187,13.57649,,,0.00208
2060.59067277,13.2072,,,0.00109,13.20428,,,0.00086,13.20799,,,0.00093,13.20906,,,0.00101,13.2072,,,0.00109,13.20824,,,0.00119,13.21706,,,0.0013,13.23327,,,0.00142
2060.61110487,12.58987,,,0.00066,12.64042,,,0.00056,12.61811,,,0.00058,12.59897,,,0.00062,12.58987,,,0.00066,12.5867,,,0.00071,12.58778,,,0.00077,12.59435,,,0.00083
2060.63153707,12.53233,,,0.00062,12.58594,,,0.00053,12.5621,,,0.00055,12.54172,,,0.00058,12.53233,,,0.00062,12.52906,,,0.00067,12.52977,,,0.00072,12.53583,,,0.00078
2060.65196938,12.66623,,,0.0007,12.71008,,,0.00059,12.69102,,,0.00062,12.67423,,,0.00065,12.66623,,,0.0007,12.6638,,,0.00075,12.66582,,,0.00082,12.67348,,,0.00088
2060.67240148,12.80342,,,0.00077,12.83692,,,0.00064,12.82296,,,0.00067,12.8101,,,0.00072,12.80342,,,0.00077,12.80182,,,0.00083,12.8055,,,0.0009,12.81525,,,0.00098
2060.69283378,12.92625,,,0.00086,12.94978,,,0.0007,12.94072,,,0.00075,12.93172,,,0.0008,12.92625,,,0.00086,12.92538,,,0.00093,12.93071,,,0.00102,12.94261,,,0.00111
2060.71326598,13.03292,,,0.00095,13.04643,,,0.00076,13.04221,,,0.00081,13.037,,,0.00088,13.03292,,,0.00095,13.0328,,,0.00103,13.03942,,,0.00112,13.05293,,,0.00123
2060.73369808,13.12011,,,0.00101,13.12442,,,0.0008,13.12455,,,0.00086,13.12295,,,0.00093,13.12011,,,0.00101,13.12082,,,0.0011,13.12881,,,0.0012,13.14397,,,0.00131
2060.75413038,13.1901,,,0.00104,13.18694,,,0.00082,13.19047,,,0.00088,13.192,,,0.00096,13.1901,,,0.00104,13.19165,,,0.00113,13.20119,,,0.00123,13.21824,,,0.00135
2060.77456258,13.25307,,,0.0011,13.24302,,,0.00086,13.24963,,,0.00093,13.25403,,,0.00101,13.25307,,,0.0011,13.25528,,,0.00119,13.26565,,,0.00131,13.28364,,,0.00143
2060.79499468,13.31212,,,0.00115,13.29788,,,0.00089,13.30641,,,0.00097,13.31286,,,0.00105,13.31212,,,0.00115,13.3141,,,0.00125,13.32409,,,0.00137,13.34146,,,0.0015
2060.81542698,13.3664,,,0.00118,13.34633,,,0.00091,13.35753,,,0.00099,13.3667,,,0.00109,13.3664,,,0.00118,13.36915,,,0.00128,13.38143,,,0.00141,13.40186,,,0.00155
2060.83585918,13.41329,,,0.00126,13.38793,,,0.00097,13.40156,,,0.00105,13.41288,,,0.00116,13.41329,,,0.00126,13.41614,,,0.00137,13.42804,,,0.00151,13.44784,,,0.00166
2060.85629128,13.45156,,,0.00128,13.4227,,,0.00098,13.43798,,,0.00107,13.45096,,,0.00117,13.45156,,,0.00128,13.4545,,,0.00139,13.46704,,,0.00153,13.48776,,,0.00168
2060.87672358,13.47707,,,0.00135,13.44579,,,0.00102,13.46183,,,0.00112,13.47639,,,0.00123,13.47707,,,0.00135,13.48026,,,0.00147,13.49362,,,0.00162,13.51562,,,0.00178
2060.89715577,13.49016,,,0.00125,13.46228,,,0.00096,13.47653,,,0.00105,13.49036,,,0.00115,13.49016,,,0.00125,13.49235,,,0.00136,13.50362,,,0.00149,13.52237,,,0.00164
2060.91758807,13.49322,,,0.00127,13.46233,,,0.00097,13.47805,,,0.00106,13.49305,,,0.00117,13.49322,,,0.00127,13.49599,,,0.00138,13.50864,,,0.00152,13.52926,,,0.00167
2060.93802017,13.50188,,,0.00136,13.46729,,,0.00103,13.48465,,,0.00113,13.50102,,,0.00125,13.50188,,,0.00136,13.50544,,,0.00149,13.51952,,,0.00164,13.54237,,,0.00181
2060.95845236,13.5182,,,0.00126,13.48711,,,0.00097,13.50283,,,0.00105,13.51834,,,0.00116,13.5182,,,0.00126,13.52056,,,0.00137,13.53265,,,0.0015,13.55247,,,0.00165
2060.97888466,13.52667,,,0.00122,13.48987,,,0.00094,13.50726,,,0.00102,13.52449,,,0.00113,13.52667,,,0.00122,13.53067,,,0.00133,13.54175,,,0.00146,13.55898,,,0.0016
2060.99931675,13.54574,,,0.00122,13.50173,,,0.00093,13.52166,,,0.00102,13.54109,,,0.00112,13.54574,,,0.00122,13.55135,,,0.00133,13.56157,,,0.00146,13.57656,,,0.00159
2061.01974895,13.50085,,,0.00112,13.4538,,,0.00086,13.47449,,,0.00094,13.49384,,,0.00103,13.50085,,,0.00112,13.50872,,,0.00122,13.51934,,,0.00133,13.53382,,,0.00145
2061.04018124,13.00923,,,0.00073,13.01334,,,0.00061,13.01116,,,0.00064,13.00872,,,0.00068,13.00923,,,0.00073,13.01234,,,0.00079,13.01617,,,0.00085,13.02253,,,0.00092
2061.06061344,12.51921,,,0.00048,12.55915,,,0.00043,12.54023,,,0.00044,12.52329,,,0.00046,12.51921,,,0.00048,12.51953,,,0.00051,12.52022,,,0.00055,12.52301,,,0.00058
2061.08104553,12.5638,,,0.00051,12.60185,,,0.00045,12.58369,,,0.00046,12.56767,,,0.00048,12.5638,,,0.00051,12.56438,,,0.00054,12.56553,,,0.00057,12.56882,,,0.00061
2061.10147782,12.70383,,,0.00057,12.73183,,,0.00049,12.71842,,,0.00051,12.70628,,,0.00053,12.70383,,,0.00057,12.70542,,,0.0006,12.70778,,,0.00065,12.71247,,,0.0007
2061.12190991,12.83846,,,0.00061,12.85879,,,0.00053,12.84873,,,0.00055,12.84018,,,0.00058,12.83846,,,0.00061,12.84039,,,0.00066,12.84339,,,0.00071,12.84878,,,0.00076
2061.14234221,12.95721,,,0.00072,12.96648,,,0.0006,12.96127,,,0.00063,12.95778,,,0.00067,12.95721,,,0.00072,12.95994,,,0.00077,12.96485,,,0.00083,12.9729,,,0.0009
2061.1627744,13.06239,,,0.00074,13.06402,,,0.00062,13.06231,,,0.00065,13.06153,,,0.00069,13.06239,,,0.00074,13.06585,,,0.00079,13.07048,,,0.00086,13.07758,,,0.00093
2061.18320649,13.14323,,,0.00071,13.14538,,,0.0006,13.14401,,,0.00063,13.14313,,,0.00066,13.14323,,,0.00071,13.14517,,,0.00075,13.14767,,,0.00081,13.152,,,0.00087
2061.20363878,13.21051,,,0.00074,13.20489,,,0.00062,13.20702,,,0.00065,13.20921,,,0.00069,13.21051,,,0.00074,13.21311,,,0.00079,13.21608,,,0.00085,13.22082,,,0.00092
2061.22407097,13.27303,,,0.00078,13.25898,,,0.00065,13.26484,,,0.00069,13.27026,,,0.00073,13.27303,,,0.00078,13.27637,,,0.00084,13.27972,,,0.0009,13.28462,,,0.00097
2061.24450306,13.33034,,,0.00081,13.31042,,,0.00067,13.31917,,,0.00071,13.32693,,,0.00076,13.33034,,,0.00081,13.3338,,,0.00087,13.33718,,,0.00094,13.34214,,,0.00101
