KBJD,raw_ap_chosen,post_decorr_ap_chosen,final_ap_chosen,err_ap_chosen,raw_ap_0,post_decorr_ap_0,final_ap_0,err_ap_0,raw_ap_1,post_decorr_ap_1,final_ap_1,err_ap_1,raw_ap_2,post_decorr_ap_2,final_ap_2,err_ap_2,raw_ap_3,post_decorr_ap_3,final_ap_3,err_ap_3,raw_ap_4,post_decorr_ap_4,final_ap_4,err_ap_4,raw_ap_5,post_decorr_ap_5,final_ap_5,err_ap_5,raw_ap_6,post_decorr_ap_6,final_ap_6,err_ap_6
2061.08104553,18.15327,,,0.07175,18.15327,,,0.07175,17.83833,,,0.05948,17.57341,,,0.05167,17.41874,,,0.04957,17.52981,,,0.06034,18.04164,,,0.10605,19.71184,,,0.53744
2061.10147782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.12190991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.14234221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.1627744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.18320649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.20363878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.22407097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.24450306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.26493535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.44882503,15.69014,15.35552,15.323390067886178,0.00785,15.69014,15.35552,15.323390067886178,0.00785,15.46214,15.1651,15.240749840496505,0.00704,15.25536,14.80823,14.956327734188383,0.00645,15.06289,14.6147,14.752410043329181,0.00597,14.89458,14.41143,14.635830032616436,0.00562,14.75302,14.34834,14.472872481703815,0.00541,14.6462,14.08823,14.514692346435066,0.00534
2061.46925721,15.80814,15.84409,16.137047504704025,0.00856,15.80814,15.84409,16.137047504704025,0.00856,15.62622,15.63894,15.418231177259562,0.00801,15.47622,15.45511,15.59298997596573,0.00773,15.33142,15.24897,15.136640807462676,0.00748,15.20219,15.09711,14.94788970198572,0.00729,15.09337,15.07349,14.96831910388076,0.00723,15.01451,14.82797,14.69221611229019,0.00732
2061.4896895,16.09894,16.09839,16.060545130534333,0.01111,16.09894,16.09839,16.060545130534333,0.01111,15.96313,15.929,15.848310424169284,0.01085,15.86216,15.79095,16.023204343275232,0.01095,15.76102,15.56207,15.612432798317368,0.01103,15.66448,15.43769,15.3084936512063,0.01108,15.57873,15.42012,15.385603581230294,0.01123,15.51836,15.22535,15.124338579596676,0.01156
2061.51012158,16.42155,16.49481,16.661588481070503,0.01441,16.42155,16.49481,16.661588481070503,0.01441,16.35875,16.39541,16.369263630386634,0.01504,16.34283,16.35323,16.548684113932072,0.01641,16.32286,16.2732,16.276351317355445,0.01781,16.28947,16.21664,16.182864122800986,0.01897,16.25414,16.2498,16.189143561452564,0.02015,16.24185,16.1083,16.052191940912184,0.02168
2061.53055376,16.84797,16.90944,16.810145332635337,0.02177,16.84797,16.90944,16.810145332635337,0.02177,16.93063,16.94694,16.588277622485446,0.02598,17.12087,17.11114,16.98154569114441,0.03428,17.36657,17.26373,17.217920920323152,0.04751,17.61517,17.48624,17.36485275654297,0.06563,17.87347,17.80033,17.643565735794553,0.09135,18.25469,18.07474,18.020267171083752,0.14126
2061.55098605,17.59622,17.73058,17.64962408095165,0.04437,17.59622,17.73058,17.64962408095165,0.04437,18.27687,18.36351,18.284354205259156,0.09187,,,,,,,,,,,,,,,,,,,,
2061.57141823,19.38591,19.50639,19.19334137982842,0.23153,19.38591,19.50639,19.19334137982842,0.23153,,,,,,,,,,,,,,,,,,,,,,,,
2061.59185031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.61228259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.63271477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.65314685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.67357913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.69401131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.71444349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.73487567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.75530785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.77574003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.7961722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061.81660438,15.86518,16.00812,16.141778759742895,0.00922,15.86518,16.00812,16.141778759742895,0.00922,15.68941,15.72538,15.775132061616283,0.00867,15.54258,15.60516,15.46415298740063,0.00839,15.40037,15.30355,15.275899414363069,0.00814,15.27319,15.13919,15.177065274992875,0.00795,15.16526,14.97057,14.894462701017751,0.0079,15.08726,14.92803,14.865893707159309,0.00799
2061.83703656,14.64594,14.81058,14.98584042823962,0.00302,14.64594,14.81058,14.98584042823962,0.00302,14.36332,14.44336,14.463006828171174,0.00258,14.1239,14.24963,14.158690611871203,0.00229,13.91144,13.90113,13.92398949492332,0.00208,13.73956,13.69566,13.826673411683533,0.00195,13.60264,13.4926,13.542421838112348,0.00188,13.4999,13.42582,13.27881980239963,0.00186
