KBJD,raw_ap_chosen,post_decorr_ap_chosen,final_ap_chosen,err_ap_chosen,raw_ap_0,post_decorr_ap_0,final_ap_0,err_ap_0,raw_ap_1,post_decorr_ap_1,final_ap_1,err_ap_1,raw_ap_2,post_decorr_ap_2,final_ap_2,err_ap_2,raw_ap_3,post_decorr_ap_3,final_ap_3,err_ap_3,raw_ap_4,post_decorr_ap_4,final_ap_4,err_ap_4,raw_ap_5,post_decorr_ap_5,final_ap_5,err_ap_5,raw_ap_6,post_decorr_ap_6,final_ap_6,err_ap_6
2060.28419702,12.50066,,,0.00049,12.53622,,,0.00044,12.52632,,,0.00045,12.51067,,,0.00047,12.50066,,,0.00049,12.49774,,,0.00052,12.49281,,,0.00056,12.48883,,,0.00059
2060.30462933,12.57948,,,0.00053,12.60414,,,0.00046,12.59829,,,0.00048,12.58729,,,0.0005,12.57948,,,0.00053,12.57713,,,0.00056,12.57281,,,0.0006,12.56917,,,0.00063
2060.32506154,12.64383,,,0.00056,12.66058,,,0.00048,12.65774,,,0.0005,12.65025,,,0.00053,12.64383,,,0.00056,12.64186,,,0.0006,12.63801,,,0.00064,12.63471,,,0.00068
2060.34549365,12.69922,,,0.00059,12.71072,,,0.0005,12.71001,,,0.00053,12.70507,,,0.00056,12.69922,,,0.00059,12.69743,,,0.00063,12.69399,,,0.00068,12.69106,,,0.00072
2060.36592597,12.75054,,,0.00058,12.75554,,,0.0005,12.75724,,,0.00052,12.75519,,,0.00055,12.75054,,,0.00058,12.74901,,,0.00062,12.74596,,,0.00067,12.74332,,,0.00071
2060.38635818,12.79874,,,0.00062,12.79856,,,0.00052,12.80238,,,0.00055,12.80281,,,0.00058,12.79874,,,0.00062,12.7974,,,0.00066,12.79479,,,0.00071,12.79259,,,0.00076
2060.40679039,12.84453,,,0.00064,12.8379,,,0.00054,12.84409,,,0.00057,12.84739,,,0.0006,12.84453,,,0.00064,12.84349,,,0.00069,12.84126,,,0.00074,12.83931,,,0.00079
2060.4272226,12.88632,,,0.00067,12.87461,,,0.00055,12.88268,,,0.00058,12.88832,,,0.00062,12.88632,,,0.00067,12.88557,,,0.00071,12.8838,,,0.00077,12.88223,,,0.00082
2060.44765481,12.92614,,,0.00069,12.90929,,,0.00057,12.91928,,,0.0006,12.92729,,,0.00065,12.92614,,,0.00069,12.92559,,,0.00074,12.92418,,,0.0008,12.92288,,,0.00086
2060.46808701,12.96079,,,0.00071,12.94006,,,0.00058,12.95145,,,0.00062,12.96129,,,0.00066,12.96079,,,0.00071,12.96052,,,0.00076,12.95957,,,0.00082,12.95867,,,0.00088
2060.48851922,12.98759,,,0.00074,12.96378,,,0.0006,12.97655,,,0.00064,12.98798,,,0.00069,12.98759,,,0.00074,12.98796,,,0.00079,12.98783,,,0.00086,12.98779,,,0.00092
2060.50895143,13.0093,,,0.00072,12.98122,,,0.00059,12.99537,,,0.00063,13.00856,,,0.00067,13.0093,,,0.00072,13.00951,,,0.00078,13.00922,,,0.00084,13.0089,,,0.00089
2060.52938364,13.02395,,,0.00074,12.9939,,,0.0006,13.0087,,,0.00064,13.02274,,,0.00069,13.02395,,,0.00074,13.02414,,,0.00079,13.02397,,,0.00085,13.02376,,,0.00091
2060.54981585,13.03561,,,0.00074,13.00375,,,0.0006,13.0192,,,0.00064,13.03407,,,0.00069,13.03561,,,0.00074,13.03591,,,0.00079,13.03588,,,0.00085,13.03577,,,0.00092
2060.57024805,13.05025,,,0.00078,13.01481,,,0.00063,13.03164,,,0.00067,13.04813,,,0.00073,13.05025,,,0.00078,13.04951,,,0.00084,13.04838,,,0.00091,13.04711,,,0.00097
2060.59068036,13.06129,,,0.00075,13.02654,,,0.0006,13.04307,,,0.00064,13.05933,,,0.0007,13.06129,,,0.00075,13.06169,,,0.0008,13.06198,,,0.00086,13.06219,,,0.00093
2060.61111247,13.06352,,,0.00076,13.02781,,,0.00061,13.04469,,,0.00065,13.06134,,,0.00071,13.06352,,,0.00076,13.06408,,,0.00082,13.06447,,,0.00088,13.06473,,,0.00094
2060.63154467,13.06769,,,0.00079,13.03222,,,0.00063,13.049,,,0.00068,13.0656,,,0.00074,13.06769,,,0.00079,13.06823,,,0.00085,13.06868,,,0.00092,13.06902,,,0.00099
2060.65197698,13.10455,,,0.00078,13.06409,,,0.00063,13.0827,,,0.00067,13.10165,,,0.00073,13.10455,,,0.00078,13.10532,,,0.00084,13.10621,,,0.00091,13.10694,,,0.00098
2060.67240908,13.1573,,,0.00083,13.10979,,,0.00066,13.13096,,,0.0007,13.15327,,,0.00077,13.1573,,,0.00083,13.15839,,,0.00089,13.15993,,,0.00096,13.16121,,,0.00104
