KBJD,raw_ap_chosen,post_decorr_ap_chosen,final_ap_chosen,err_ap_chosen,raw_ap_0,post_decorr_ap_0,final_ap_0,err_ap_0,raw_ap_1,post_decorr_ap_1,final_ap_1,err_ap_1,raw_ap_2,post_decorr_ap_2,final_ap_2,err_ap_2,raw_ap_3,post_decorr_ap_3,final_ap_3,err_ap_3,raw_ap_4,post_decorr_ap_4,final_ap_4,err_ap_4,raw_ap_5,post_decorr_ap_5,final_ap_5,err_ap_5,raw_ap_6,post_decorr_ap_6,final_ap_6,err_ap_6
2060.28419005,13.21339,,,0.0028,13.1793,,,0.00202,13.18982,,,0.00225,13.2045,,,0.00252,13.21339,,,0.0028,13.22341,,,0.0031,13.23559,,,0.00344,13.25358,,,0.0038
2060.30462236,13.23391,,,0.00289,13.19009,,,0.00207,13.20312,,,0.00231,13.22103,,,0.00259,13.23391,,,0.00289,13.24836,,,0.00321,13.26591,,,0.00358,13.29001,,,0.00398
2060.32505457,13.26405,,,0.00289,13.20778,,,0.00204,13.22404,,,0.00229,13.24616,,,0.00258,13.26405,,,0.00289,13.28431,,,0.00323,13.30848,,,0.00362,13.34003,,,0.00405
2060.34548668,13.29429,,,0.00304,13.22734,,,0.00213,13.24627,,,0.00239,13.27202,,,0.0027,13.29429,,,0.00304,13.31994,,,0.00342,13.3504,,,0.00385,13.3893,,,0.00434
2060.36591899,13.30177,,,0.00296,13.23114,,,0.00207,13.251,,,0.00232,13.27785,,,0.00263,13.30177,,,0.00296,13.32981,,,0.00333,13.36299,,,0.00377,13.4045,,,0.00426
2060.3863512,13.27815,,,0.00291,13.22742,,,0.00207,13.24201,,,0.00231,13.26248,,,0.0026,13.27815,,,0.00291,13.29645,,,0.00325,13.31773,,,0.00363,13.34507,,,0.00405
2060.40678341,13.21611,,,0.00277,13.23578,,,0.00209,13.23557,,,0.00231,13.23344,,,0.00255,13.21611,,,0.00277,13.19309,,,0.00297,13.16647,,,0.00318,13.14064,,,0.00337
2060.42721562,13.13709,,,0.00256,13.24286,,,0.0021,13.22262,,,0.00227,13.19235,,,0.00244,13.13709,,,0.00256,13.07035,,,0.00264,12.99728,,,0.00271,12.92452,,,0.00275
2060.44764782,13.09631,,,0.00247,13.24068,,,0.0021,13.21126,,,0.00225,13.16833,,,0.00239,13.09631,,,0.00247,13.01103,,,0.00251,12.91894,,,0.00253,12.82776,,,0.00253
2060.46808003,13.01118,,,0.00229,13.14008,,,0.00192,13.11086,,,0.00206,13.07256,,,0.0022,13.01118,,,0.00229,12.93977,,,0.00236,12.86171,,,0.00241,12.7839,,,0.00244
2060.48851224,12.65928,,,0.00171,12.78004,,,0.00143,12.74178,,,0.00152,12.70515,,,0.00162,12.65928,,,0.00171,12.61132,,,0.00179,12.55846,,,0.00187,12.50616,,,0.00194
2060.50894444,12.40717,,,0.00135,12.52162,,,0.00112,12.4793,,,0.00119,12.44424,,,0.00127,12.40717,,,0.00135,12.37227,,,0.00143,12.33359,,,0.00151,12.2959,,,0.00158
2060.52937665,12.46041,,,0.00139,12.55953,,,0.00114,12.52341,,,0.00121,12.49279,,,0.0013,12.46041,,,0.00139,12.43142,,,0.00148,12.39893,,,0.00158,12.3664,,,0.00166
2060.54980886,12.56361,,,0.00153,12.65076,,,0.00124,12.61931,,,0.00132,12.5927,,,0.00143,12.56361,,,0.00153,12.53765,,,0.00164,12.50844,,,0.00174,12.47925,,,0.00184
2060.57024106,12.67266,,,0.00189,12.72833,,,0.00148,12.71228,,,0.00161,12.69405,,,0.00175,12.67266,,,0.00189,12.657,,,0.00204,12.63852,,,0.0022,12.61605,,,0.00235
2060.59067337,12.7367,,,0.00176,12.79823,,,0.0014,12.77577,,,0.0015,12.75781,,,0.00163,12.7367,,,0.00176,12.71856,,,0.0019,12.6976,,,0.00204,12.67654,,,0.00218
2060.61110547,12.80691,,,0.00188,12.85766,,,0.00147,12.83927,,,0.00159,12.82488,,,0.00173,12.80691,,,0.00188,12.79207,,,0.00203,12.775,,,0.00219,12.75844,,,0.00234
2060.63153767,12.87069,,,0.00197,12.91097,,,0.00153,12.89629,,,0.00166,12.88538,,,0.00182,12.87069,,,0.00197,12.85939,,,0.00214,12.84639,,,0.00232,12.83431,,,0.00249
2060.65196998,12.93061,,,0.00206,12.96057,,,0.00158,12.94945,,,0.00172,12.94198,,,0.00189,12.93061,,,0.00206,12.92287,,,0.00224,12.91388,,,0.00244,12.90605,,,0.00263
2060.67240208,12.98527,,,0.00213,13.0068,,,0.00162,12.99863,,,0.00178,12.99396,,,0.00195,12.98527,,,0.00213,12.98048,,,0.00233,12.97501,,,0.00254,12.97119,,,0.00275
2060.69283438,13.03883,,,0.00224,13.05059,,,0.00169,13.04604,,,0.00185,13.04466,,,0.00204,13.03883,,,0.00224,13.03689,,,0.00245,13.03462,,,0.00268,13.03423,,,0.00291
2060.71326658,13.08871,,,0.0024,13.09147,,,0.00179,13.09023,,,0.00197,13.09196,,,0.00218,13.08871,,,0.0024,13.08913,,,0.00263,13.0895,,,0.00289,13.09206,,,0.00314
