System,Period (days),V,Spectral type,Mass (Msun),Radius (Rsun),Surface gravity (cgs),log Teff (K),log (L/Lsun),[M/H],,,B-V,Sec Spectral type,Sec Mass (Msun ),Sec Radius (Rsun),Sec Surface gravity (cgs),Sec Log Teff (K),Sec log (L/Lsun),(dex),
CV Vel,6.889,6.69,B2.5_V,6.067 ± 0.011,4.08 ± 0.03,4.000 ± 0.008,4.255 ± 0.012,3.204 ± 0.048,0,,,-0.19,B2.5_V,5.952 ± 0.011,3.94 ± 0.03,4.021 ± 0.008,4.250 ± 0.012,3.137 ± 0.048,± 0.00,
DI Her,10.55,8.42,B5_V,5.185 ± 0.108,2.680 ± 0.046,4.297 ± 0.018,4.230 ± 0.020,2.73 ± 0.08,,,,-0.18,B5_V,4.534 ± 0.066,2.477 ± 0.045,4.307 ± 0.017,4.179 ± 0.020,2.46 ± 0.08,,
U Oph,1.678,5.91,B5_V,5.09 ± 0.06,3.44 ± 0.01,4.073 ± 0.004,4.220 ± 0.005,,0,,,-0.18,B6_V,4.58 ± 0.05,3.05 ± 0.01,4.131 ± 0.004,4.183 ± 0.003,,± 0.00,
EP Cru,11.077,8.69,B5_V,5.02 ± 0.13,3.590 ± 0.035,4.028 ± 0.008,4.196 ± 0.014,,,,,-0.04,B5_V,4.83 ± 0.13,3.495 ± 0.034,4.035 ± 0.008,4.188 ± 0.014,,,
V760 Sco,1.731,6.99,B4_V,4.980 ± 0.090,3.013 ± 0.066,4.177 ± 0.021,4.228 ± 0.013,2.82 ± 0.05,,,,-0.17,B4_V,4.620 ± 0.073,2.640 ± 0.053,4.259 ± 0.019,4.210 ± 0.013,2.63 ± 0.06,,
ASAS J180057-2333.8,269.496,10.34,K1_II,4.914 ± 0.021,52.12 ± 1.38,1.696 ± 0.023,3.657 ± 0.008,3.013 ± 0.038,-0.14,,,1.6,K4_II,4.875 ± 0.021,67.63 ± 1.40,1.466 ± 0.018,3.624 ± 0.008,3.111 ± 0.037,± 0.10,
MU Cas,9.653,10.8,B5_V,4.57 ± 0.09,3.67 ± 0.04,3.969 ± 0.010,4.179 ± 0.014,2.80 ± 0.06,,,,0.3,B5_V,4.66 ± 0.10,4.19 ± 0.05,3.861 ± 0.010,4.169 ± 0.014,2.88 ± 0.06,,
OGLE SMC108.1 14904,185.218,15.21,F9_II,4.416 ± 0.041,46.95 ± 0.53,1.740 ± 0.014,3.754 ± 0.008,3.313 ± 0.042,-0.79,,,0.86,G7_II,4.429 ± 0.037,64.05 ± 0.50,1.472 ± 0.010,3.695 ± 0.008,3.346 ± 0.038,± 0.15,
OGLE-LMC-ECL-06575,189.994,15.81,G6_II-III,4.167 ± 0.022,43.93 ± 0.43,1.773 ± 0.008,3.692 ± 0.007,3.009 ± 0.029,-0.46,,,1.2,K0_III,3.989 ± 0.026,46.75 ± 0.43,1.699 ± 0.008,3.667 ± 0.006,2.963 ± 0.024,± 0.10,
OGLE-LMC-CEP-00227,309.669,15.2,F7_Ib-II,4.15 ± 0.03,34.87 ± 0.12,1.970 ± 0.004,3.778 ± 0.012,3.15 ± 0.05,,,,0.6,G4_II,4.06 ± 0.03,44.79 ± 0.14,1.743 ± 0.003,3.708 ± 0.010,3.09 ± 0.04,,
GG Lup,1.85,5.59,B7_V,4.116 ± 0.040,2.379 ± 0.025,4.301 ± 0.011,4.169 ± 0.013,2.38 ± 0.05,,,,-0.16,B9_V,2.509 ± 0.024,1.725 ± 0.019,4.364 ± 0.010,4.041 ± 0.024,1.59 ± 0.10,,
OGLE-LMC-ECL-13360,262.439,15.82,G1_II-III,3.950 ± 0.024,30.46 ± 0.38,2.067 ± 0.011,3.740 ± 0.007,2.882 ± 0.031,-0.3,,,1.07,G4_II-III,4.060 ± 0.024,39.46 ± 0.35,1.854 ± 0.008,3.706 ± 0.007,2.972 ± 0.028,± 0.10,
ζ Phe,1.67,3.95,B6_V,3.908 ± 0.057,2.835 ± 0.019,4.125 ± 0.005,4.158 ± 0.024,2.49 ± 0.10,,,,-0.15,B8_V,2.536 ± 0.031,1.885 ± 0.011,4.292 ± 0.004,4.079 ± 0.022,1.82 ± 0.09,,
OGLE-SMC-ECL-3678,187.843,15.56,F2_II,3.83 ± 0.02,31.2 ± 0.5,2.03 ± 0.01,3.823 ± 0.008,3.234 ± 0.037,-0.78,,,0.67,G6_II,3.73 ± 0.01,42.6 ± 0.4,1.75 ± 0.01,3.697 ± 0.006,3.003 ± 0.026,± 0.08,
OGLE-LMC-CEP-01812,551.776,16.69,F7_II,3.76 ± 0.03,17.85 ± 0.13,2.509 ± 0.007,3.787 ± 0.011,2.61 ± 0.04,,,,0.64,G4_III,2.62 ± 0.02,11.83 ± 0.08,2.709 ± 0.007,3.713 ± 0.010,1.95 ± 0.04,,
V413 Ser,2.26,8,B8_V,3.68 ± 0.05,3.21 ± 0.05,3.9914 ± 0.0028,4.045 ± 0.012,2.149 ± 0.022,,,,0.58,B9_V,3.36 ± 0.04,2.93 ± 0.05,4.0310 ± 0.0031,4.015 ± 0.012,1.949 ± 0.034,,
χ2 Hya,2.268,5.65,B8_V,3.613 ± 0.079,4.384 ± 0.039,3.712 ± 0.015,4.066 ± 0.010,2.50 ± 0.04,,,,-0.09,B8_V,2.638 ± 0.050,2.165 ± 0.043,4.188 ± 0.019,4.041 ± 0.010,1.79 ± 0.04,,
OGLE-LMC-CEP-04506,1550.354,15.5,F7_Ib,3.61 ± 0.03,28.5 ± 0.2,2.087 ± 0.007,3.787 ± 0.011,3.01 ± 0.05,,,,0.5,F7_Ib-II,3.52 ± 0.03,26.4 ± 0.2,2.142 ± 0.006,3.783 ± 0.011,2.93 ± 0.05,,
OGLE-LMC-SC9-230659,772.638,16.63,G6_III,3.598 ± 0.038,32.83 ± 0.22,1.962 ± 0.005,3.699 ± 0.006,2.783 ± 0.025,-0.24,,,1.09,G6_III,3.429 ± 0.030,23.40 ± 0.31,2.235 ± 0.011,3.702 ± 0.009,2.500 ± 0.036,± 0.11,
OGLE-LMC-ECL26122,771.781,16.63,none,3.593 ± 0.055,32.71 ± 0.51,1.964 ± 0.014,3.698 ± 0.007,,-0.15,,,0.82,none,3.411 ± 0.047,22.99 ± 0.48,2.248 ± 0.018,3.699 ± 0.007,,± +0.10,
OGLE-LMC-ECL-01866,251.247,16.13,G3_III,3.560 ± 0.020,26.79 ± 0.52,2.134 ± 0.017,3.724 ± 0.007,2.708 ± 0.032,-0.49,,,1.17,K1.5_III,3.550 ± 0.031,47.11 ± 0.50,1.642 ± 0.009,3.653 ± 0.006,2.912 ± 0.025,± 0.17,
IQ Per,1.744,7.73,B8_V,3.521 ± 0.067,2.446 ± 0.026,4.208 ± 0.019,4.090 ± 0.008,2.09 ± 0.03,,,,-0.11,A6_V,1.737 ± 0.031,1.503 ± 0.017,4.323 ± 0.013,3.885 ± 0.008,0.85 ± 0.04,,
OGLE SMC113.3 4007,371.768,15.81,G8_III,3.504 ± 0.028,45.8 ± 0.7,1.660 ± 0.017,3.681 ± 0.009,3.000 ± 0.033,-0.5,,,0.88,G8_III,3.561 ± 0.025,48.4 ± 0.7,1.620 ± 0.016,3.682 ± 0.009,3.053 ± 0.030,± 0.00,
OGLE-LMC-ECL-10567,117.975,16.43,G6_III,3.333 ± 0.029,24.60 ± 0.29,2.179 ± 0.010,3.705 ± 0.009,2.555 ± 0.036,-0.7,,,1.09,G9_III,3.184 ± 0.026,36.64 ± 0.25,1.813 ± 0.006,3.673 ± 0.007,2.777 ± 0.028,± 0.10,
OGLE-LMC-ECL-09114,214.366,16.71,G4_III,3.304 ± 0.023,26.33 ± 0.34,2.116 ± 0.011,3.719 ± 0.005,2.669 ± 0.023,-0.38,,,1.03,G2_III,3.205 ± 0.025,18.79 ± 0.37,2.396 ± 0.017,3.734 ± 0.009,2.439 ± 0.040,± 0.12,
V906 Sco,2.786,5.96,B9_V,3.253 ± 0.069,3.515 ± 0.039,3.858 ± 0.013,4.029 ± 0.020,2.162 ± 0.082,,,,-0.01,B9_V,3.378 ± 0.071,4.521 ± 0.035,3.656 ± 0.012,4.017 ± 0.021,2.330 ± 0.084,,
ψ Cen,38.813,4.05,A0_IV,3.187 ± 0.031,3.814 ± 0.007,3.779 ± 0.003,4.019 ± 0.012,2.147 ± 0.050,,,,0.03,none,1.961 ± 0.015,1.896 ± 0.004,4.175 ± 0.004,3.944 ± 0.015,1.244 ± 0.059,,
α Dra,51.417,3.68,A0_III,3.186 ± 0.044,4.932 ± 0.036,3.555 ± 0.006,4.010 ± 0.004,2.380 ± 0.018,0.01,,,0.04,none,2.431 ± 0.019,2.326 ± 0.052,4.090 ± 0.019,3.997 ± 0.014,1.667 ± 0.059,± 0.05,
V414 Pup,4.749,8.81,ApSi,3.155 ± 0.059,2.781 ± 0.034,4.049 ± 0.011,4.114 ± 0.010,,,,,-0.05,Am,1.751 ± 0.039,1.390 ± 0.042,4.395 ± 0.021,3.954 ± 0.007,,,
