System,Period (days),V,Spectral type,Mass (Msun),Radius (Rsun),Surface gravity (cgs),log Teff (K),log (L/Lsun),[M/H],,,B-V,Sec Spectral type,Sec Mass (Msun ),Sec Radius (Rsun),Sec Surface gravity (cgs),Sec Log Teff (K),Sec log (L/Lsun),(dex),
YZ Cas,4.467,5.64,A1_Vm,2.263 ± 0.012,2.525 ± 0.011,3.988 ± 0.004,3.979 ± 0.005,1.672 ± 0.022,0.1,,,0.03,F2_V,1.325 ± 0.007,1.331 ± 0.006,4.311 ± 0.004,3.838 ± 0.015,0.552 ± 0.061,± 0.06,
CoRoT 105906206,3.695,11.78,none,2.25 ± 0.04,4.24 ± 0.02,3.53 ± 0.01,3.829 ± 0.010,1.53 ± 0.04,0,,,0.7,none,1.29 ± 0.03,1.34 ± 0.01,4.30 ± 0.02,3.789 ± 0.011,0.36 ± 0.05,± 0.1,
SW CMa,10.092,9.72,A4_m,2.239 ± 0.014,3.014 ± 0.020,3.8298 ± 0.0065,3.914 ± 0.008,1.566 ± 0.032,0.55,,,0.13,A5_m,2.104 ± 0.018,2.495 ± 0.042,3.967 ± 0.015,3.908 ± 0.008,1.380 ± 0.035,± 0.15,
OGLE-LMC-ECL-25658,192.789,17,G8_III,2.231 ± 0.024,21.40 ± 0.15,2.126 ± 0.006,3.685 ± 0.006,2.354 ± 0.027,-0.48,,,1.17,G9_III,2.230 ± 0.023,27.61 ± 0.19,1.904 ± 0.006,3.674 ± 0.007,2.533 ± 0.028,± 0.13,
V1229 Tau,2.46,6.84,A0_V,2.221 ± 0.027,1.843 ± 0.037,4.253 ± 0.019,4.001 ± 0.026,1.487 ± 0.010,0.06,,,0.08,A_Vm,1.586 ± 0.042,1.565 ± 0.015,4.231 ± 0.024,3.861 ± 0.022,0.885 ± 0.080,± 0.05,
GZ CMa,4.801,7.98,A3_Vm,2.206 ± 0.019,2.492 ± 0.032,3.989 ± 0.012,3.945 ± 0.017,1.53 ± 0.07,,,,0.06,A4:_V,2.005 ± 0.018,2.131 ± 0.037,4.083 ± 0.016,3.931 ± 0.017,1.33 ± 0.07,,
PT Vel,1.802,7.03,A0_V,2.198 ± 0.016,2.094 ± 0.020,4.138 ± 0.008,3.966 ± 0.007,1.461 ± 0.038,,,,0.05,A8_V,1.626 ± 0.009,1.559 ± 0.020,4.263 ± 0.011,3.883 ± 0.010,0.875 ± 0.025,,
V1647 Sgr,3.283,6.94,A1_V,2.189 ± 0.037,1.831 ± 0.018,4.253 ± 0.012,3.982 ± 0.014,1.41 ± 0.05,,,,-0.01,A1_V,1.972 ± 0.033,1.666 ± 0.017,4.289 ± 0.012,3.959 ± 0.014,1.23 ± 0.06,,
KIC 9246715,171.277,9.58,none,2.1869 ± 0.0033,8.49 ± 0.12,2.920 ± 0.013,3.689 ± 0.004,1.567 ± 0.022,0.01,,,1.05,none,2.1598 ± 0.0032,8.20 ± 0.09,2.945 ± 0.009,3.691 ± 0.005,1.543 ± 0.022,± 0.03,
FT Ori,3.15,9.26,A0_Vm,2.182 ± 0.022,1.860 ± 0.013,4.237 ± 0.006,3.982 ± 0.018,1.486 ± 0.023,,,,0.1,A2_Vm,1.783 ± 0.020,1.616 ± 0.013,4.272 ± 0.007,3.935 ± 0.015,1.179 ± 0.025,,
V889 Aql,11.121,8.58,B9.5_V,2.17 ± 0.02,1.87 ± 0.04,4.23 ± 0.02,3.964 ± 0.005,1.354 ± 0.027,,,,0.19,B9.5_V,2.13 ± 0.02,1.85 ± 0.04,4.23 ± 0.02,3.958 ± 0.005,1.320 ± 0.029,,
EE Peg,2.628,6.97,A3_m,2.151 ± 0.024,2.090 ± 0.025,4.131 ± 0.010,3.940 ± 0.010,1.352 ± 0.041,,,,0.08,F5_V,1.332 ± 0.011,1.312 ± 0.013,4.327 ± 0.008,3.810 ± 0.020,0.427 ± 0.082,,
V335 Ser,3.45,7.49,A1_V,2.147 ± 0.014,2.03 ± 0.03,4.155 ± 0.011,3.955 ± 0.007,1.39 ± 0.03,,,,0.14,A3_V,1.906 ± 0.008,1.73 ± 0.04,4.241 ± 0.017,3.930 ± 0.008,1.15 ± 0.04,,
V596 Pup,4.596,6.58,A1_V,2.101 ± 0.022,2.167 ± 0.020,4.089 ± 0.009,3.978 ± 0.009,1.54 ± 0.04,,,,0,A1_V,2.099 ± 0.019,2.167 ± 0.020,4.088 ± 0.009,3.978 ± 0.009,1.54 ± 0.04,,
TZ For,75.666,6.88,G8_III,2.057 ± 0.001,8.34 ± 0.11,2.915 ± 0.023,3.693 ± 0.003,1.57 ± 0.02,0.02,,,0.97,F7_III,1.958 ± 0.001,3.97 ± 0.08,3.539 ± 0.037,3.803 ± 0.005,1.36 ± 0.03,± 0.05,
TV Nor,8.524,9,none,2.053 ± 0.022,1.839 ± 0.012,4.221 ± 0.010,3.960 ± 0.007,1.325 ± 0.034,,,,0.3,none,1.665 ± 0.018,1.550 ± 0.014,4.278 ± 0.012,3.892 ± 0.006,0.902 ± 0.035,,
OGLE-BLG-ECL-123903,118.531,16.9,K2_III,2.045 ± 0.027,9.540 ± 0.049,2.790 ± 0.011,3.679 ± 0.012,1.633 ± 0.071,0.24,,,0.99,K2_III,2.074 ± 0.023,9.052 ± 0.060,2.841 ± 0.012,3.680 ± 0.016,1.591 ± 0.067,± 0.18,
EK Cep,4.428,7.87,A2_V,2.029 ± 0.023,1.579 ± 0.007,4.349 ± 0.010,3.954 ± 0.010,1.17 ± 0.04,0.07,,,0.04,G5_Vp,1.124 ± 0.012,1.315 ± 0.006,4.251 ± 0.006,3.756 ± 0.015,0.21 ± 0.06,± 0.05,
V459 Cas,8.458,10.37,A1_m,2.02 ± 0.03,2.009 ± 0.013,4.136 ± 0.006,3.961 ± 0.014,1.41 ± 0.05,,,,0.2,A1_m,1.96 ± 0.03,1.965 ± 0.013,4.144 ± 0.006,3.959 ± 0.014,1.38 ± 0.06,,
V885 Cyg,1.695,10.03,A3_m,2.005 ± 0.029,2.345 ± 0.012,4.000 ± 0.007,3.923 ± 0.008,1.38 ± 0.03,,,,0.15,A4_m,2.234 ± 0.026,3.385 ± 0.026,3.728 ± 0.008,3.911 ± 0.008,1.66 ± 0.03,,
VV Crv,3.145,5.27,F5_IV,1.978 ± 0.010,3.375 ± 0.010,3.678 ± 0.006,3.813 ± 0.013,1.261 ± 0.054,,,,0.42,F5_V,1.513 ± 0.008,1.650 ± 0.008,4.183 ± 0.009,3.822 ± 0.013,0.676 ± 0.054,,
KW Hya,7.75,6.11,A5_Vm,1.975 ± 0.028,2.124 ± 0.015,4.079 ± 0.013,3.903 ± 0.011,1.221 ± 0.044,,,,0.17,F0_V,1.487 ± 0.013,1.439 ± 0.022,4.270 ± 0.010,3.843 ± 0.013,0.640 ± 0.054,,
AI Hya,8.29,9.36,F2_m,1.97 ± 0.03,2.81 ± 0.02,3.84 ± 0.01,3.863 ± 0.011,1.30 ± 0.04,,,,0.36,F0_V,2.14 ± 0.03,3.96 ± 0.04,3.57 ± 0.01,3.837 ± 0.013,1.49 ± 0.06,,
V2365 Oph,4.866,8.859,A1_V,1.965 ± 0.017,2.190 ± 0.009,4.051 ± 0.003,3.978 ± 0.009,1.544 ± 0.050,,,,0.257,none,1.056 ± 0.010,0.934 ± 0.004,4.521 ± 0.004,3.806 ± 0.014,0.121 ± 0.010,,
WW Aur,2.525,5.87,A4_Vm,1.964 ± 0.007,1.927 ± 0.011,4.162 ± 0.007,3.901 ± 0.024,1.129 ± 0.092,,,,0.14,A5_Vm,1.814 ± 0.007,1.841 ± 0.011,4.167 ± 0.007,3.885 ± 0.024,1.023 ± 0.093,,
RR Lyn,9.945,5.54,A6_IVm,1.9394 ± 0.0065,2.564 ± 0.019,3.9078 ± 0.0063,3.890 ± 0.012,1.334 ± 0.035,,,,0.22,F0_Vm:,1.5100 ± 0.0033,1.613 ± 0.013,4.2017 ± 0.0071,3.856 ± 0.012,0.795 ± 0.049,,
WW Cam,2.274,10.14,A4_Vm,1.920 ± 0.013,1.911 ± 0.016,4.159 ± 0.008,3.922 ± 0.007,1.20 ± 0.03,,,,0.47,A4_Vm,1.873 ± 0.018,1.808 ± 0.014,4.196 ± 0.009,3.916 ± 0.007,1.13 ± 0.03,,
AY Cam,2.735,9.9,none,1.901 ± 0.040,2.771 ± 0.020,3.832 ± 0.015,3.860 ± 0.015,1.280 ± 0.006,,,,0.36,none,1.705 ± 0.036,2.025 ± 0.015,4.057 ± 0.016,3.869 ± 0.020,1.042 ± 0.006,,
V392 Car,3.175,9.48,A2_V,1.900 ± 0.024,1.625 ± 0.030,4.286 ± 0.017,3.947 ± 0.010,,,,,0.21,A2_V,1.853 ± 0.024,1.601 ± 0.031,4.310 ± 0.024,3.937 ± 0.010,,,
KIC 3858884,25.952,9.45,none,1.88 ± 0.03,3.45 ± 0.01,3.63 ± 0.01,3.833 ± 0.004,,,,,0.61,none,1.86 ± 0.04,3.05 ± 0.01,3.74 ± 0.01,3.820 ± 0.005,,,
V456 Cyg,0.892,10.85,A2m,1.859 ± 0.041,1.588 ± 0.015,4.306 ± 0.006,3.889 ± 0.006,,,,,0.31,F3_V,1.576 ± 0.037,1.507 ± 0.016,4.279 ± 0.008,3.860 ± 0.007,,,
RS Cha,1.67,6.03,A8_V,1.858 ± 0.016,2.137 ± 0.055,4.047 ± 0.023,3.906 ± 0.010,1.24 ± 0.05,0.17,,,0.2,A8_V,1.821 ± 0.018,2.338 ± 0.055,3.961 ± 0.021,3.886 ± 0.010,1.24 ± 0.05,± 0.07,
OGLE SMC130.5 4296,120.468,16.78,G7_III,1.854 ± 0.025,25.44 ± 0.25,1.895 ± 0.014,3.691 ± 0.007,2.529 ± 0.036,-0.88,,,1.1,K1_III,1.805 ± 0.027,46.00 ± 0.35,1.369 ± 0.013,3.655 ± 0.007,2.898 ± 0.036,± 0.15,
OGLE-LMC-ECL-12669,749.632,17.21,K0.5_III,1.843 ± 0.029,24.17 ± 0.34,1.937 ± 0.012,3.666 ± 0.008,2.384 ± 0.034,-0.3,,,1.2,G9_III,1.962 ± 0.030,23.36 ± 0.30,1.994 ± 0.011,3.673 ± 0.009,2.386 ± 0.038,± 0.14,
HY Vir,2.732,7.81,F0m,1.838 ± 0.009,2.806 ± 0.008,3.806 ± 0.003,3.836 ± 0.008,1.20 ± 0.04,,,,0.42,F5_V,1.404 ± 0.006,1.519 ± 0.008,4.222 ± 0.004,3.816 ± 0.008,0.58 ± 0.04,,
OGLE-LMC-ECL-12875,152.85,17.32,G8_III,1.831 ± 0.020,15.62 ± 0.13,2.313 ± 0.007,3.685 ± 0.009,2.083 ± 0.036,-0.48,,,1.39,K2.5_III,1.858 ± 0.023,40.82 ± 0.32,1.486 ± 0.006,3.642 ± 0.011,2.744 ± 0.044,± 0.15,
MY Cyg,4.005,8.31,F0_Vm,1.82 ± 0.03,2.22 ± 0.02,4.01 ± 0.01,3.851 ± 0.012,1.05 ± 0.04,,,,0.3,F0_Vm,1.80 ± 0.03,2.28 ± 0.02,3.98 ± 0.01,3.847 ± 0.012,1.06 ± 0.05,,
OGLE-LMC-ECL-03160,150.154,17.13,G7_III,1.792 ± 0.016,17.03 ± 0.28,2.229 ± 0.014,3.693 ± 0.009,2.188 ± 0.040,-0.68,,,1.31,K2_III,1.802 ± 0.018,37.42 ± 0.24,1.548 ± 0.005,3.648 ± 0.007,2.695 ± 0.028,± 0.18,
IM Per,2.254,11.28,A8_V,1.7831 ± 0.0094,2.409 ± 0.018,3.9258 ± 0.0067,3.880 ± 0.009,1.235 ± 0.035,,,,0.7,A8_V,1.7741 ± 0.0097,2.366 ± 0.017,3.9394 ± 0.0068,3.879 ± 0.009,1.217 ± 0.036,,
XY Cet,2.781,8.8,A8_Vm,1.773 ± 0.016,1.873 ± 0.035,4.142 ± 0.016,3.896 ± 0.006,1.082 ± 0.030,,,,0.29,F0_Vm,1.615 ± 0.014,1.773 ± 0.029,4.149 ± 0.014,3.882 ± 0.007,0.978 ± 0.032,,
EI Cep,8.439,7.61,F3_IV,1.772 ± 0.007,2.896 ± 0.048,3.763 ± 0.014,3.829 ± 0.007,1.193 ± 0.030,,,,0.33,F1_V,1.680 ± 0.006,2.329 ± 0.044,3.929 ± 0.016,3.842 ± 0.006,1.055 ± 0.030,,
V572 Per,1.213,6.71,A0_V,1.76 ± 0.03,1.68 ± 0.03,4.23 ± 0.02,3.90 ± 0.03,,,,,0.08,none,1.39 ± 0.03,1.29 ± 0.04,4.36 ± 0.03,3.82 ± 0.04,,,
KIC 10031808,8.59,9.56,none,1.741 ± 0.009,2.590 ± 0.020,3.852 ± 0.006,3.852 ± 0.007,1.185 ± 0.027,-0.11,,,0.45,none,1.798 ± 0.013,3.027 ± 0.014,3.731 ± 0.004,3.835 ± 0.007,1.254 ± 0.027,± 0.08,
OGLE-SMC-ECL-0019,143.393,17.92,G4_III,1.73 ± 0.03,16.8 ± 0.4,2.23 ± 0.02,3.716 ± 0.008,2.270 ± 0.040,-0.56,,,0.99,G5_III,1.69 ± 0.03,18.8 ± 0.6,2.12 ± 0.03,3.708 ± 0.009,2.334 ± 0.044,± 0.08,
HW CMa,21.118,10,A7_Vm,1.721 ± 0.011,1.643 ± 0.018,4.242 ± 0.010,3.879 ± 0.009,0.898 ± 0.036,0.33,,,0.19,A7_Vm,1.781 ± 0.012,1.662 ± 0.021,4.247 ± 0.011,3.886 ± 0.008,0.940 ± 0.035,± 0.15,
ASAS J060505+2032.1,2.121,11.93,none,1.716 ± 0.022,2.048 ± 0.010,4.050 ± 0.003,3.870 ± 0.025,,-0.12,,,0.58,none,1.697 ± 0.028,2.008 ± 0.011,4.062 ± 0.004,3.870 ± 0.022,,± 0.31,
KIC 2557430,1.298,11.63,F2_V,1.69 ± 0.03,1.88 ± 0.02,4.116 ± 0.009,3.848 ± 0.011,0.899 ± 0.038,-0.02,,,0.58,F9_V,1.35 ± 0.02,1.23 ± 0.03,4.386 ± 0.019,3.782 ± 0.050,0.249 ± 0.075,± 0.11,
OGLE SMC126.1 210,634.999,16.77,K2_III,1.674 ± 0.037,43.52 ± 1.02,1.385 ± 0.029,3.651 ± 0.007,2.836 ± 0.047,-0.87,,,1.2,K1_III,1.669 ± 0.039,39.00 ± 0.98,1.479 ± 0.031,3.654 ± 0.007,2.752 ± 0.049,± 0.15,
KIC 9850387,2.748,13.67,F1_V,1.66 ± 0.01,2.154 ± 0.003,3.992 ± 0.003,3.865 ± 0.005,,-0.2,,,0.48,none,1.062 ± 0.004,1.081 ± 0.003,4.396 ± 0.003,3.790 ± 0.005,,± 0.05,
CoRoT 102918586,4.391,12.45,none,1.66 ± 0.02,1.64 ± 0.01,4.23 ± 0.01,3.868 ± 0.005,,0.11,,,0.42,none,1.49 ± 0.03,1.48 ± 0.01,4.27 ± 0.01,3.851 ± 0.007,,± 0.05,
DS And,1.011,10.44,F1_III,1.655 ± 0.030,2.086 ± 0.013,4.018 ± 0.013,3.849 ± 0.009,0.981 ± 0.010,-0.03,,,0.39,G2_V,1.087 ± 0.040,1.255 ± 0.013,4.277 ± 0.025,3.776 ± 0.010,0.248 ± 0.016,± 0.02,
V501 Mon,7.021,12.32,A6m,1.6455 ± 0.0043,1.888 ± 0.029,4.103 ± 0.013,3.876 ± 0.006,1.007 ± 0.027,0.01,,,0.57,F0,1.4588 ± 0.0025,1.592 ± 0.028,4.199 ± 0.016,3.845 ± 0.006,0.743 ± 0.043,± 0.06,
FS Mon,1.906,9.6,F2_V,1.632 ± 0.012,2.051 ± 0.012,4.026 ± 0.005,3.827 ± 0.006,0.888 ± 0.026,,,,0.9,F4_V,1.462 ± 0.010,1.629 ± 0.012,4.179 ± 0.006,3.816 ± 0.007,0.644 ± 0.026,,
V1022 Cas,12.156,5.56,F6_V,1.6263 ± 0.0011,2.591 ± 0.026,3.822 ± 0.009,3.810 ± 0.008,1.020 ± 0.034,,,,0.47,F6_V,1.8086 ± 0.0012,2.472 ± 0.027,3.858 ± 0.009,3.819 ± 0.007,1.016 ± 0.030,,
KIC 9777062,19.23,12.26,Am,1.603 ± 0.017,1.744 ± 0.004,4.160 ± 0.003,3.886 ± 0.008,,-0.03,,,0.37,none,1.419 ± 0.009,1.544 ± 0.003,4.213 ± 0.002,3.854 ± 0.006,,± 0.13,
IO Aqr,2.368,8.86,F5_V-IV,1.569 ± 0.004,2.191 ± 0.015,3.952 ± 0.006,3.811 ± 0.009,0.880 ± 0.032,,,,0.48,F6_V-IV,1.655 ± 0.004,2.493 ± 0.017,3.863 ± 0.006,3.802 ± 0.009,0.954 ± 0.031,,
PV Pup,1.661,6.89,A8_V,1.565 ± 0.011,1.542 ± 0.018,4.257 ± 0.010,3.840 ± 0.019,0.69 ± 0.08,,,,0.32,A8_V,1.554 ± 0.013,1.499 ± 0.018,4.278 ± 0.011,3.841 ± 0.019,0.67 ± 0.08,,
V442 Cyg,2.386,9.72,F1_V,1.564 ± 0.024,2.072 ± 0.034,3.999 ± 0.016,3.839 ± 0.006,0.94 ± 0.03,,,,0.32,F2_V,1.410 ± 0.023,1.662 ± 0.033,4.146 ± 0.019,3.833 ± 0.006,0.72 ± 0.03,,
BT Vul,1.141,11.69,F0_V,1.5439 ± 0.0098,1.536 ± 0.018,4.254 ± 0.011,3.862 ± 0.009,0.772 ± 0.038,,,,0.31,F7_V,1.2196 ± 0.0080,1.151 ± 0.029,4.403 ± 0.022,3.797 ± 0.012,0.260 ± 0.055,,
KIC 11285625,10.79,10.16,early_F,1.543 ± 0.013,2.123 ± 0.010,3.973 ± 0.006,3.843 ± 0.006,,-0.58,,,0.39,early_F,1.200 ± 0.016,1.472 ± 0.014,4.18 ± 0.01,3.857 ± 0.012,,± 0.15,
HIP 7666,2.372,9.64,A5,1.53 ± 0.03,2.08 ± 0.02,3.98 ± 0.02,3.851 ± 0.006,0.99 ± 0.03,-0.13,,,0.4,none,1.23 ± 0.03,1.06 ± 0.02,4.47 ± 0.02,3.780 ± 0.005,0.13 ± 0.04,± 0.05,
EY Cep,7.971,9.8,F0_V,1.523 ± 0.008,1.463 ± 0.008,4.290 ± 0.006,3.851 ± 0.010,0.69 ± 0.04,,,,0.27,F0_V,1.498 ± 0.014,1.468 ± 0.010,4.280 ± 0.006,3.843 ± 0.010,0.66 ± 0.04,,
RZ Cha,2.832,8.1,F5_V,1.518 ± 0.021,2.264 ± 0.017,3.909 ± 0.009,3.810 ± 0.010,0.90 ± 0.04,,,,0.47,F5_V,1.509 ± 0.027,2.264 ± 0.017,3.907 ± 0.010,3.810 ± 0.010,0.90 ± 0.04,,
OGLE-LMC-ECL-12933,125.395,17.38,G7_III,1.516 ± 0.019,17.32 ± 0.22,2.142 ± 0.011,3.690 ± 0.018,2.193 ± 0.073,-0.38,,,1.37,K2_III,1.514 ± 0.017,36.41 ± 0.31,1.496 ± 0.007,3.650 ± 0.015,2.679 ± 0.059,± 0.13,
KIC 5640750,987.398,11.88,none,1.515 ± 0.033,14.06 ± 0.12,2.323 ± 0.007,3.656 ± 0.007,1.871 ± 0.029,-0.29,,,1.24,none,1.292 ± 0.017,1.853 ± 0.023,4.014 ± 0.010,3.767 ± 0.015,0.555 ± 0.060,± 0.09,
HD 71636,5.013,7.89,F2_V,1.513 ± 0.009,1.571 ± 0.009,4.23 ± 0.01,3.842 ± 0.008,0.713 ± 0.036,,,,0.38,F5_V,1.285 ± 0.007,1.361 ± 0.008,4.28 ± 0.01,3.809 ± 0.009,0.457 ± 0.038,,
KIC 6778289,30.13,13.09,none,1.512 ± 0.022,1.748 ± 0.009,4.133 ± 0.008,3.834 ± 0.010,,,,,0.45,none,1.092 ± 0.019,0.998 ± 0.005,4.479 ± 0.010,3.861 ± 0.026,,,
EPIC 219552514,2.754,10.34,none,1.509 ± 0.059,2.505 ± 0.029,3.822 ± 0.009,3.791 ± 0.007,0.913 ± 0.030,+0.07,,,0.5,none,0.649 ± 0.015,0.652 ± 0.013,4.624 ± 0.012,3.603 ± 0.018,-1.018 ± 0.075,± 0.03,
HD 187669,88.387,8.88,K0_III,1.504 ± 0.003,11.33 ± 0.28,2.507 ± 0.020,3.667 ± 0.007,1.732 ± 0.031,-0.25,,,1.24,K2.5_III,1.505 ± 0.004,22.62 ± 0.50,1.907 ± 0.019,3.636 ± 0.007,2.207 ± 0.035,± 0.10,
GX Gem,4.038,11.33,F7_V,1.488 ± 0.011,2.327 ± 0.012,3.877 ± 0.004,3.792 ± 0.007,0.86 ± 0.03,-0.12,,,0.61,F7_V,1.467 ± 0.010,2.238 ± 0.012,3.904 ± 0.005,3.790 ± 0.007,0.82 ± 0.03,± 0.10,
NGC 2506 V4,2.868,14.65,none,1.478 ± 0.007,2.300 ± 0.014,3.884 ± 0.007,3.834 ± 0.006,,-0.36,,,0.39,none,1.250 ± 0.010,1.534 ± 0.019,4.163 ± 0.012,3.834 ± 0.006,,± 0.10,
KIC 8410637,408.324,11.33,G_III,1.472 ± 0.017,10.596 ± 0.049,2.556 ± 0.003,3.663 ± 0.008,1.656 ± 0.030,0.02,,,0.85,none,1.309 ± 0.014,1.556 ± 0.010,4.171 ± 0.005,3.783 ± 0.014,0.468 ± 0.058,± 0.08,
DM Vir,4.669,8.73,F7_V,1.454 ± 0.008,1.763 ± 0.017,4.108 ± 0.009,3.813 ± 0.007,0.70 ± 0.03,,,,0.47,F7_V,1.448 ± 0.008,1.763 ± 0.017,4.106 ± 0.009,3.813 ± 0.007,0.70 ± 0.03,,
ASAS J073507-0905.7,1.446,9.32,F5_V,1.452 ± 0.034,1.635 ± 0.012,4.173 ± 0.005,3.806 ± 0.007,0.60 ± 0.03,-0.27,,,0.45,none,0.808 ± 0.013,0.819 ± 0.011,4.519 ± 0.010,3.640 ± 0.011,-0.66 ± 0.05,± 0.08,
OGLE-LMC-ECL-15260,157.469,16.92,G8_III,1.449 ± 0.018,23.22 ± 0.43,1.868 ± 0.016,3.682 ± 0.012,2.415 ± 0.050,-0.63,,,1.36,K2_III,1.422 ± 0.016,42.20 ± 0.92,1.340 ± 0.019,3.645 ± 0.008,2.787 ± 0.038,± 0.12,
NN Del,99.269,8.4,F8,1.4445 ± 0.0029,2.194 ± 0.015,3.915 ± 0.006,3.809 ± 0.014,0.868 ± 0.054,,,,0.54,none,1.3266 ± 0.0021,1.608 ± 0.014,4.148 ± 0.007,3.813 ± 0.013,0.615 ± 0.054,,
CD Tau,3.435,6.77,F6_V,1.442 ± 0.016,1.798 ± 0.017,4.087 ± 0.010,3.792 ± 0.004,,0.08,,,0.44,F6_V,1.368 ± 0.016,1.584 ± 0.020,4.174 ± 0.012,3.792 ± 0.004,,± 0.15,
OGLE-SMC-ECL-0970,191.551,17.93,G8_III,1.44 ± 0.02,18.4 ± 0.3,2.07 ± 0.01,3.686 ± 0.006,2.228 ± 0.028,-0.83,,,1.06,G9_III,1.42 ± 0.01,21.1 ± 0.2,1.94 ± 0.01,3.679 ± 0.006,2.322 ± 0.027,± 0.08,
ASAS J090232-5653.4,20.822,10.63,none,1.436 ± 0.016,1.527 ± 0.007,4.201 ± 0.006,3.847 ± 0.014,0.736 ± 0.062,-0.15,,,0.36,none,1.372 ± 0.018,1.392 ± 0.007,4.244 ± 0.007,3.825 ± 0.015,0.585 ± 0.065,± 0.13,
BG Ind,1.464,6.13,F,1.432 ± 0.020,2.339 ± 0.019,3.852 ± 0.008,3.809 ± 0.002,0.926 ± 0.009,-0.19,,,0.5,F,1.315 ± 0.025,1.592 ± 0.033,4.150 ± 0.012,3.834 ± 0.002,0.693 ± 0.020,± 0.04,
ASAS J163903-2847.2,23.31,9.85,none,1.421 ± 0.004,2.157 ± 0.006,3.923 ± 0.002,3.822 ± 0.005,,-0.19,,,0.59,none,1.141 ± 0.002,1.224 ± 0.004,4.320 ± 0.003,3.819 ± 0.025,,± 0.16,
V506 Oph,1.06,11.41,F1_V,1.415 ± 0.010,1.725 ± 0.010,4.1155 ± 0.0061,3.835 ± 0.010,0.766 ± 0.039,,,,0.21,F1_V,1.402 ± 0.009,1.692 ± 0.012,4.1284 ± 0.0067,3.831 ± 0.007,0.734 ± 0.028,,
BF Dra,11.211,9.76,F6_V,1.414 ± 0.003,2.086 ± 0.012,3.950 ± 0.005,3.803 ± 0.011,0.81 ± 0.04,,,,0.59,F6_V,1.375 ± 0.003,1.922 ± 0.012,4.008 ± 0.005,3.806 ± 0.010,0.75 ± 0.04,,
BK Peg,5.49,9.98,F8_V,1.414 ± 0.007,1.988 ± 0.008,3.992 ± 0.004,3.797 ± 0.006,0.74 ± 0.02,-0.12,,,0.59,F7_V,1.257 ± 0.005,1.474 ± 0.017,4.201 ± 0.010,3.801 ± 0.006,0.49 ± 0.03,± 0.07,
AD Boo,2.069,9.38,F6_V,1.414 ± 0.009,1.612 ± 0.014,4.173 ± 0.008,3.818 ± 0.008,0.64 ± 0.03,0.1,,,0.44,G0_V,1.209 ± 0.006,1.216 ± 0.010,4.351 ± 0.007,3.789 ± 0.008,0.28 ± 0.04,± 0.15,
KIC 6864859,40.878,11.64,none,1.411 ± 0.028,1.655 ± 0.013,4.150 ± 0.010,3.813 ± 0.011,,,,,0.31,none,1.354 ± 0.028,1.455 ± 0.012,4.244 ± 0.012,3.816 ± 0.019,,,
BN Scl,3.747,5.23,F7_V,1.4067 ± 0.0022,1.834 ± 0.007,4.059 ± 0.003,3.800 ± 0.003,0.680 ± 0.015,-0.23,,,0.49,F8_V,1.2439 ± 0.0015,1.380 ± 0.009,4.256 ± 0.006,3.795 ± 0.005,0.415 ± 0.020,± 0.06,
VZ Cep,1.183,9.72,F3_V,1.402 ± 0.015,1.534 ± 0.012,4.2130 ± 0.0080,3.824 ± 0.010,0.634 ± 0.041,,,,0.47,G4_V,1.1077 ± 0.0083,1.042 ± 0.039,4.446 ± 0.033,3.757 ± 0.009,0.026 ± 0.050,,
V1200 Cen,2.483,8.5,F5_V,1.393 ± 0.018,1.407 ± 0.014,4.2855 ± 0.0082,3.819 ± 0.004,0.525 ± 0.013,,,,0.46,none,0.8633 ± 0.0081,1.154 ± 0.014,4.2496 ± 0.0099,3.651 ± 0.007,-0.319 ± 0.025,,
KIC 9540226,175.443,12.08,none,1.390 ± 0.031,13.43 ± 0.17,2.326 ± 0.010,3.661 ± 0.007,1.854 ± 0.030,-0.31,,,1.21,none,1.015 ± 0.016,1.034 ± 0.014,4.416 ± 0.010,3.765 ± 0.015,0.042 ± 0.061,± 0.09,
AN Cam,20.998,9.69,F9_V,1.380 ± 0.021,2.159 ± 0.012,3.9095 ± 0.0030,3.782 ± 0.011,0.750 ± 0.043,,,,0.61,G2_IV,1.402 ± 0.025,2.646 ± 0.014,3.7400 ± 0.0037,3.760 ± 0.011,0.839 ± 0.046,,
NGC 7142 V1,15.651,14.86,none,1.377 ± 0.009,1.616 ± 0.005,4.160 ± 0.003,3.782 ± 0.014,,,,,0.83,none,1.377 ± 0.009,1.613 ± 0.005,4.162 ± 0.003,3.782 ± 0.014,,,
ASAS J052821+0338.5,3.873,11.7,K1_PMS,1.375 ± 0.011,1.83 ± 0.01,4.05 ± 0.01,3.708 ± 0.009,0.314 ± 0.034,-0.15,,,0.9,K3_PMS,1.329 ± 0.008,1.73 ± 0.01,4.08 ± 0.01,3.673 ± 0.009,0.140 ± 0.035,± 0.14,
BW Aqr,6.72,10.3,F7_V,1.373 ± 0.018,1.7332 ± 0.0086,4.0982 ± 0.0040,3.810 ± 0.007,0.669 ± 0.027,-0.07,,,0.45,F7_V,1.469 ± 0.018,2.0708 ± 0.0040,3.9731 ± 0.0025,3.802 ± 0.007,0.796 ± 0.028,± 0.11,
